SEQN,OCD150,OCQ180,OCQ210,OCQ670,OCD383
109266,1,40,,1,
109267,1,40,,1,
109268,4,,,,2
109271,4,,,,4
109273,1,28,2,2,
109274,4,,,,3
109279,4,,,,2
109282,4,,,,1
109283,4,,,,4
109284,1,38,,5,
109285,4,,,,7
109286,1,20,2,5,
109290,1,60,,2,
109291,1,8,2,5,
109292,4,,,,4
109293,3,,,,
109295,1,43,,1,
109297,1,16,2,1,
109298,4,,,,3
109300,1,60,,5,
109303,2,,2,5,
109305,1,40,,1,
109307,1,72,,5,
109311,1,36,,1,
109312,1,16,2,5,
109313,1,25,2,1,
109315,1,28,1,5,
109316,4,,,,4
109317,1,30,1,1,
109319,1,40,,2,
109321,2,,2,5,
109322,1,56,,1,
109323,1,35,,5,
109324,4,,,,4
109326,4,,,,1
109327,1,40,,1,
109330,4,,,,3
109331,1,20,2,1,
109332,4,,,,4
109333,1,40,,1,
109334,1,40,,2,
109335,4,,,,7
109336,4,,,,4
109337,1,40,,2,
109340,1,10,2,5,
109342,4,,,,7
109343,4,,,,3
109346,3,,,,
109348,1,40,,1,
109349,1,40,,1,
109350,4,,,,4
109351,4,,,,7
109353,1,70,,1,
109354,2,,1,3,
109359,1,40,,2,
109361,3,,,,
109363,2,,1,1,
109365,1,32,2,5,
109367,4,,,,3
109369,4,,,,4
109371,1,40,,1,
109373,1,30,1,1,
109376,1,50,,1,
109377,1,45,,1,
109378,1,32,2,5,
109379,4,,,,3
109382,4,,,,3
109387,4,,,,7
109389,4,,,,3
109390,1,40,,1,
109391,4,,,,1
109392,4,,,,3
109393,4,,,,3
109394,4,,,,2
109395,1,60,,5,
109396,1,40,,1,
109397,1,40,,5,
109398,4,,,,2
109401,4,,,,4
109402,4,,,,3
109403,1,45,,1,
109404,1,25,2,5,
109405,4,,,,1
109407,1,56,,1,
109408,1,17,1,5,
109411,1,20,2,3,
109413,1,37,,1,
109414,4,,,,4
109415,1,40,,5,
109416,4,,,,4
109417,3,,,,
109423,1,42,,2,
109426,1,40,,2,
109428,4,,,,3
109429,1,20,2,3,
109431,1,40,,1,
109432,1,40,,1,
109435,4,,,,3
109436,4,,,,3
109437,4,,,,4
