SEQN,OCD150,OCQ180,OCQ210,OCD231,OCD241,OCQ260,OCD270,OCQ275,OCQ380,OCD390G,OCD391,OCD392,OCD395,OCQ510,OCQ520,OCQ530,OCQ540,OCQ550,OCQ560,OCQ570,OCQ580
62161,1,99999,2,16,14,4,12,2,,2,,,,2,,2,,2,,1,1
62164,1,42,,16,17,1,36,2,,1,16,11,120,2,,2,,2,,2,
62169,4,,,,,,,,2,4,,,,,,,,,,,
62172,4,,,,,,,,5,1,10,17,120,2,,2,,2,,2,
62174,4,,,,,,,,3,1,21,12,300,,,,,,,,
62176,4,,,,,,,,1,1,15,8,96,2,,2,,2,,2,
62177,3,,,,,,,,,1,4,19,120,1,10,2,,1,10,1,10
62178,4,,,,,,,,3,1,1,1,720,,,,,,,,
62179,1,40,,21,2,3,48,2,,1,8,16,144,2,,2,,2,,2,
62180,1,45,,19,6,1,60,2,,2,,,,1,1,1,0,1,7,1,0
62182,1,30,2,19,1,1,360,1,,2,,,,1,30,2,,1,30,1,30
62184,1,40,,17,14,4,72,2,,2,,,,1,2,1,6,1,6,2,
62185,4,,,,,,,,2,4,,,,,,,,,,,
62186,4,,,,,,,,2,1,18,16,3,2,,2,,2,,2,
62189,1,36,,16,11,1,36,2,,1,18,13,72,2,,2,,2,,2,
62191,4,,,,,,,,6,1,4,19,360,1,30,1,30,2,,1,30
62193,4,,,,,,,,2,1,14,14,4,2,,2,,2,,2,
62195,1,60,,8,12,1,13,2,,2,,,,2,,2,,2,,2,
62197,4,,,,,,,,2,4,,,,,,,,,,,
62199,1,40,,13,9,5,16,1,,1,19,1,300,1,1,2,,2,,1,1
62200,1,55,,6,4,1,120,2,,2,,,,2,,2,,2,,2,
62201,4,,,,,,,,3,4,,,,,,,,,,,
62202,1,40,,4,19,1,132,1,,2,,,,1,0,1,10,1,10,1,10
62205,1,30,1,16,1,1,18,2,,1,16,1,36,1,1,2,,2,,2,
62206,1,42,,16,10,1,108,2,,2,,,,2,,2,,2,,1,9
62208,1,50,,9,22,1,48,2,,1,,,84,2,,2,,1,12,1,7
62209,4,,,,,,,,1,1,14,14,36,1,3,2,,2,,2,
62211,4,,,,,,,,1,4,,,,,,,,,,,
62214,4,,,,,,,,1,1,8,17,7,2,,2,,2,,2,
62215,4,,,,,,,,3,1,8,16,48,2,,2,,2,,2,
62217,4,,,,,,,,3,1,1,18,96,1,8,1,8,2,,2,
62218,4,,,,,,,,7,1,16,10,120,2,,2,,2,,2,
62220,1,40,,15,6,1,72,2,,2,,,,1,5,2,,2,,2,
62221,1,60,,21,5,3,192,1,,2,,,,1,5,2,,1,2,2,
62222,1,52,,13,1,1,20,2,,2,,,,1,0,2,,2,,1,0
62223,3,,,,,,,,,1,7,17,144,1,10,2,,1,8,1,2
62224,4,,,,,,,,1,4,,,,,,,,,,,
62226,4,,,,,,,,3,1,5,21,300,,,,,,,,
62227,1,30,2,17,12,1,36,2,,2,,,,2,,2,,2,,2,
62228,1,75,,5,1,1,336,2,,2,,,,2,,2,,1,6,1,12
62229,1,40,,19,6,1,60,2,,2,,,,1,2,2,,2,,2,
62230,4,,,,,,,,3,1,1,1,480,1,40,1,40,1,40,1,19
62231,1,47,,11,2,1,36,2,,2,,,,2,,2,,2,,2,
62232,1,24,1,16,10,1,10,2,,2,,,,2,,2,,2,,2,
62233,4,,,,,,,,6,1,6,21,120,2,,2,,2,,1,11
62234,1,40,,4,19,1,60,2,,2,,,,1,5,1,5,1,1,1,5
62236,1,30,2,13,17,5,240,2,,1,14,17,240,2,,2,,1,20,2,
62237,4,,,,,,,,3,1,21,6,240,2,,2,,2,,2,
62239,1,20,2,14,14,1,24,2,,1,18,13,27,2,,1,2,2,,1,5
62242,1,40,,14,14,5,60,2,,2,,,,1,5,2,,1,5,2,
62248,4,,,,,,,,4,7,,,,7,,7,,7,,7,
62249,1,40,,15,17,3,36,2,,2,,,,2,,2,,2,,2,
62250,1,48,,16,11,1,60,2,,2,,,,2,,2,,2,,2,
62251,1,40,,21,2,3,372,2,,2,,,,2,,2,,2,,2,
62253,1,40,,1,18,1,72,2,,2,,,,1,1,2,,2,,2,
62255,4,,,,,,,,6,1,4,19,240,2,,2,,1,12,2,
62256,4,,,,,,,,3,1,2,21,240,,,,,,,,
62258,4,,,,,,,,4,1,16,14,216,2,,2,,2,,1,18
62259,4,,,,,,,,6,1,10,17,60,1,2,2,,2,,2,
62261,4,,,,,,,,5,1,8,22,240,1,20,2,,1,20,2,
62264,4,,,,,,,,3,1,5,21,660,2,,2,,2,,2,
62265,1,44,,9,20,1,84,1,,1,19,20,84,2,,2,,1,7,1,7
62266,4,,,,,,,,6,1,18,13,360,2,,1,30,2,,2,
62267,4,,,,,,,,1,4,,,,,,,,,,,
62269,1,60,,12,19,1,6,2,,1,5,21,72,1,6,2,,1,6,1,0
62270,1,30,2,18,14,1,24,2,,1,15,5,72,2,,2,,2,,1,2
62275,1,50,,11,1,1,36,2,,2,,,,2,,2,,2,,2,
62277,1,48,,16,10,1,36,2,,2,,,,2,,2,,2,,2,
62278,4,,,,,,,,3,1,15,13,240,2,,2,,2,,2,
62279,4,,,,,,,,3,1,7,22,60,,,,,,,,
62280,4,,,,,,,,6,1,13,17,264,2,,2,,2,,2,
62282,1,45,,16,5,3,12,2,,2,,,,2,,2,,2,,2,
62284,4,,,,,,,,7,1,16,10,168,2,,2,,2,,2,
62285,4,,,,,,,,2,4,,,,,,,,,,,
62286,3,,,,,,,,,1,9,17,60,2,,2,,2,,2,
62287,4,,,,,,,,3,1,16,10,144,2,,2,,2,,2,
62288,1,22,2,18,13,1,72,2,,2,,,,2,,2,,2,,2,
62289,4,,,,,,,,3,1,19,20,720,1,65,1,65,1,55,1,55
62291,1,50,,9,17,2,204,2,,1,,,252,1,38,1,3,1,21,1,21
62292,4,,,,,,,,3,1,22,23,360,,,,,,,,
62293,4,,,,,,,,6,1,9,20,120,2,,2,,1,15,2,
62295,4,,,,,,,,6,1,5,21,180,2,,2,,2,,2,
62296,1,38,,8,16,1,5,2,,2,,,,1,1,1,1,1,0,2,
62297,1,40,,21,12,4,120,2,,2,,,,2,,1,5,1,4,2,
62301,1,35,,8,17,1,72,2,,2,,,,2,,2,,2,,2,
62302,4,,,,,,,,1,4,,,,,,,,,,,
62303,4,,,,,,,,3,1,6,21,72,2,,2,,2,,2,
62307,4,,,,,,,,6,1,14,12,120,2,,2,,2,,2,
62308,4,,,,,,,,3,1,14,17,180,2,,2,,2,,2,
62309,4,,,,,,,,5,1,6,21,72,1,1,2,,1,7,1,11
62311,4,,,,,,,,7,1,8,16,3,2,,2,,2,,2,
62312,4,,,,,,,,1,1,6,21,60,2,,2,,2,,2,
62314,4,,,,,,,,6,1,19,22,144,1,12,2,,1,12,1,12
62315,4,,,,,,,,3,1,15,13,180,,,,,,,,
62316,1,32,1,4,20,1,48,2,,2,,,,1,20,2,,1,5,1,10
62317,1,30,1,4,19,5,84,2,,1,8,16,180,1,7,1,7,2,,1,7
62320,4,,,,,,,,3,1,16,2,348,2,,2,,1,7,2,
62324,1,40,,20,14,1,60,2,,2,,,,2,,2,,2,,1,25
62325,4,,,,,,,,7,1,19,21,120,2,,2,,2,,2,
62326,1,6,2,16,5,5,384,2,,2,,,,2,,2,,2,,2,
62327,4,,,,,,,,2,4,,,,,,,,,,,
62330,1,50,,13,5,3,12,2,,2,,,,2,,2,,2,,1,1
62332,1,5,2,14,1,1,4,2,,2,,,,2,,2,,2,,2,
62333,3,,,,,,,,,4,,,,,,,,,,,
62336,1,50,,15,19,3,336,2,,2,,,,1,3,2,,2,,2,
62339,1,48,,6,4,1,60,2,,2,,,,1,12,1,12,1,12,1,12
62340,1,50,,6,21,1,312,2,,2,,,,2,,2,,2,,2,
62342,1,40,,15,8,3,84,2,,1,,,120,2,,2,,2,,2,
62343,3,,,,,,,,,1,19,20,24,2,,2,,1,2,2,
62344,1,40,,10,1,1,48,2,,2,,,,2,,2,,2,,2,
62345,4,,,,,,,,1,1,16,5,168,2,,2,,2,,2,
62346,4,,,,,,,,2,4,,,,,,,,,,,
62347,1,40,,20,15,5,4,2,,1,16,15,108,2,,2,,2,,2,
62348,1,32,2,8,16,1,6,2,,2,,,,2,,2,,2,,2,
62349,4,,,,,,,,2,1,16,15,120,2,,2,,2,,2,
62350,1,40,,3,21,4,17,2,,1,8,16,120,1,0,2,,2,,2,
62353,4,,,,,,,,3,1,15,8,444,,,,,,,,
62355,4,,,,,,,,2,4,,,,,,,,,,,
62357,1,40,,13,3,1,132,2,,2,,,,2,,2,,2,,2,
