SEQN,OCD150,OCQ180,OCQ210,OCD231,OCD241,OCQ260,OCD270,OCQ380,OCD390G,OCD391,OCD392,OCD395
73557,4,,,,,,,3,1,10,16,204
73558,1,50,,8,16,1,420,,2,,,
73559,4,,,,,,,3,1,21,2,216
73561,4,,,,,,,4,1,15,8,372
73562,1,56,,9,17,2,372,,2,,,
73564,4,,,,,,,3,1,15,8,324
73565,1,40,,4,22,1,192,,2,,,
73566,1,38,,18,13,1,84,,2,,,
73567,1,20,2,12,22,1,36,,1,19,20,144
73568,1,40,,15,17,3,24,,2,,,
73571,4,,,,,,,3,1,15,8,420
73574,4,,,,,,,1,1,16,10,72
73576,4,,,,,,,2,4,,,
73577,1,20,2,18,13,1,6,,2,,,
73578,4,,,,,,,2,1,21,17,0
73580,1,70,,17,12,1,12,,2,,,
73581,1,40,,11,3,1,36,,2,,,
73582,1,40,,14,17,1,1,,1,11,17,24
73585,1,40,,13,5,1,18,,1,21,10,96
73589,1,42,,8,10,1,12,,2,,,
73592,1,42,,14,17,1,12,,1,8,16,36
73594,3,,,,,,,,1,14,14,60
73595,1,40,,7,22,1,72,,1,6,22,168
73596,2,,1,7,9,1,48,,1,7,16,216
73597,4,,,,,,,4,1,18,13,120
73598,4,,,,,,,7,1,4,19,2
73600,1,36,,14,14,5,24,,2,,,
73603,1,40,,13,1,1,120,,2,,,
73604,4,,,,,,,3,1,13,17,120
73606,3,,,,,,,,1,15,8,132
73607,4,,,,,,,3,1,9,22,300
73610,4,,,,,,,3,3,22,23,252
73613,1,40,,9,22,1,168,,2,,,
73614,4,,,,,,,4,1,14,12,36
73615,4,,,,,,,4,1,5,21,24
73616,1,35,,11,16,1,288,,2,,,
73618,1,45,,5,2,1,9,,2,,,
73619,1,21,1,20,14,1,96,,2,,,
73621,4,,,,,,,3,1,3,1,336
73622,4,,,,,,,3,1,13,5,408
73623,1,60,,6,1,1,60,,2,,,
73624,4,,,,,,,6,1,1,18,3
73626,4,,,,,,,3,1,18,13,168
73628,4,,,,,,,3,1,11,2,480
73629,1,40,,17,16,1,96,,2,,,
73631,1,12,1,20,15,1,6,,2,,,
73632,1,54,,1,18,1,24,,2,,,
73633,1,40,,15,8,4,48,,2,,,
73634,4,,,,,,,6,1,4,19,24
73638,4,,,,,,,6,1,19,15,96
73639,4,,,,,,,3,1,14,14,420
73640,4,,,,,,,3,1,7,17,240
73641,4,,,,,,,6,1,18,13,600
73642,1,45,,18,13,1,60,,2,,,
73643,4,,,,,,,3,1,5,4,276
73645,1,40,,11,17,1,36,,1,10,2,120
73647,4,,,,,,,6,1,15,15,216
73648,4,,,,,,,7,4,,,
73652,4,,,,,,,4,1,16,10,24
73654,1,6,2,16,22,1,312,,2,,,
73655,1,40,,21,1,3,120,,2,,,
73656,1,55,,5,1,1,60,,2,,,
73657,1,32,1,18,17,1,0,,1,18,13,12
73658,1,55,,13,3,1,24,,2,,,
73659,1,16,2,16,17,1,0,,2,,,
73660,1,20,2,15,6,1,36,,2,,,
73661,1,22,1,10,20,1,8,,1,18,1,30
73662,4,,,,,,,5,1,9,22,192
73663,1,60,,15,8,1,24,,2,,,
73665,4,,,,,,,4,1,18,13,36
73666,4,,,,,,,3,1,8,3,204
73667,4,,,,,,,5,3,22,23,48
73668,4,,,,,,,7,1,16,11,84
73670,4,,,,,,,7,4,,,
73671,1,70,,19,20,5,300,,2,,,
73672,4,,,,,,,3,1,5,16,480
73673,1,50,,13,3,1,48,,2,,,
73674,4,,,,,,,7,1,16,10,144
73675,1,40,,18,13,1,24,,2,,,
73676,1,50,,17,9,5,72,,2,,,
73677,2,,1,16,10,1,96,,1,16,10,96
73678,1,45,,12,20,1,36,,3,22,23,264
73684,1,50,,5,4,1,120,,2,,,
73688,1,50,,10,9,5,336,,2,,,
73689,1,50,,4,2,1,120,,2,,,
73690,4,,,,,,,3,1,14,17,36
73692,1,38,,18,14,1,36,,1,18,22,240
73693,4,,,,,,,3,1,8,17,120
73694,4,,,,,,,3,1,15,17,216
73695,4,,,,,,,3,1,12,16,300
73697,1,60,,11,2,1,228,,2,,,
73698,1,70,,6,17,1,18,,2,,,
73699,4,,,,,,,5,4,,,
73701,1,40,,16,10,1,72,,2,,,
73702,1,38,,10,1,1,36,,1,8,16,240
73703,4,,,,,,,1,4,,,
73706,1,70,,4,19,1,312,,2,,,
73707,1,40,,12,14,1,7,,1,14,12,48
73708,1,42,,8,10,1,72,,2,,,
